epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
66,12305.4,0.20404,0.29985,0.79444,0.06318,0.27253,0.05894,0.03338,0.57084,2262.58,0.5161,0.000198214,0.000198214,0.000198214
67,12490.5,0.21028,0.3072,0.79309,0.04585,0.18719,0.02586,0.01261,0.58179,2203.21,0.53873,0.00019271,0.00019271,0.00019271
68,12676.9,0.20528,0.30515,0.78767,0.07388,0.37352,0.09351,0.05141,0.603,1995.45,0.54357,0.000187205,0.000187205,0.000187205
69,12862.2,0.20742,0.30609,0.79264,0.06264,0.30745,0.07628,0.04138,0.58338,1930.65,0.53163,0.000181701,0.000181701,0.000181701
70,13047.1,0.20755,0.30456,0.78966,0.0566,0.23938,0.04925,0.02575,0.56429,2389.98,0.52406,0.000176196,0.000176196,0.000176196
71,13230.2,0.21088,0.29999,0.79219,0.06466,0.26917,0.05071,0.02644,0.56985,2085.67,0.53599,0.000170692,0.000170692,0.000170692
72,13415.9,0.20427,0.30823,0.79231,0.06378,0.27137,0.04014,0.02102,0.57773,2226.03,0.54076,0.000165188,0.000165188,0.000165188
73,13601.2,0.19796,0.30331,0.79531,0.06622,0.2809,0.04924,0.02471,0.56912,2193.3,0.53017,0.000159683,0.000159683,0.000159683
74,13786.8,0.19557,0.31237,0.78695,0.05622,0.24077,0.03471,0.01756,0.559,2237,0.52139,0.000154179,0.000154179,0.000154179
75,13972.6,0.19731,0.29212,0.78982,0.07011,0.30656,0.04172,0.02089,0.5767,2257.22,0.53932,0.000148674,0.000148674,0.000148674
76,14158.5,0.19467,0.30736,0.78616,0.05375,0.22055,0.03323,0.01757,0.56431,1967.06,0.53117,0.00014317,0.00014317,0.00014317
77,14344.3,0.20019,0.30699,0.7923,0.08297,0.40528,0.07985,0.04252,0.59232,2430.71,0.54754,0.000137666,0.000137666,0.000137666
78,14529.9,0.19501,0.30745,0.7913,0.0556,0.23041,0.03563,0.01849,0.57371,2053.13,0.5245,0.000132161,0.000132161,0.000132161
79,14715.5,0.20297,0.30306,0.79034,0.05946,0.26466,0.03331,0.01626,0.57556,2204.65,0.53642,0.000126657,0.000126657,0.000126657
80,14901,0.19214,0.29523,0.79093,0.0542,0.22486,0.03179,0.01577,0.57805,2329.48,0.5393,0.000121152,0.000121152,0.000121152
81,15086.8,0.19304,0.28576,0.79364,0.06712,0.28188,0.04288,0.02148,0.57235,2357.39,0.52645,0.000115648,0.000115648,0.000115648
82,15272.8,0.18807,0.28982,0.78722,0.05893,0.24432,0.03766,0.01862,0.56032,2191.36,0.52574,0.000110144,0.000110144,0.000110144
83,15457.6,0.19195,0.27984,0.79034,0.06489,0.27241,0.05636,0.02904,0.57644,2309.11,0.54788,0.000104639,0.000104639,0.000104639
84,15643.3,0.19115,0.29474,0.79105,0.05749,0.2514,0.03647,0.01957,0.57711,2348.55,0.54456,9.91348e-05,9.91348e-05,9.91348e-05
85,15828.7,0.184,0.29304,0.7915,0.05394,0.22147,0.03237,0.01672,0.57613,2244.33,0.5423,9.36304e-05,9.36304e-05,9.36304e-05
86,16014.5,0.18162,0.27396,0.78584,0.05337,0.21711,0.03061,0.01582,0.56905,2325.19,0.53466,8.8126e-05,8.8126e-05,8.8126e-05
87,16200.3,0.18447,0.27854,0.78909,0.05145,0.20782,0.02499,0.01251,0.56434,2294.88,0.53016,8.26216e-05,8.26216e-05,8.26216e-05
88,16386.3,0.18781,0.27263,0.78363,0.05754,0.23595,0.03835,0.01925,0.57475,2394.25,0.5371,7.71172e-05,7.71172e-05,7.71172e-05
89,16571.6,0.18546,0.29339,0.79211,0.06942,0.31233,0.04715,0.0242,0.57333,2257.05,0.53407,7.16128e-05,7.16128e-05,7.16128e-05
